;----------------------------------------------------
;Dump of Oscilloscope gather for X Axis
;Kp == 0.000000
;Ki == 0.000000
;Kd == 0.000000
;iL == 2560000.000000
;Kg == 0.000000
;Kv1 == 0.000000
;Ka == 0.000000
;accel_time == 0.500000
;samples_per_second == 200.000000
;----------------------------------------------------

Sample Seconds VExp VAbs ErrAbs ErrSum
197 0.985000 -18.295467 -18.000000 -8.000000 0.000000 
198 0.990000 -18.295467 -18.000000 -7.000000 0.000000 
199 0.995000 -18.295467 -19.000000 -6.000000 0.000000 
200 1.000000 -18.295467 -19.000000 -7.000000 0.000000 
201 1.005000 -18.295467 -17.000000 -9.000000 0.000000 
202 1.010000 -18.295467 -17.000000 -8.000000 0.000000 
203 1.015000 -18.295467 -20.000000 -6.000000 0.000000 
204 1.020000 -18.295467 -18.000000 -8.000000 0.000000 
205 1.025000 -18.295467 -17.000000 -7.000000 0.000000 
206 1.030000 -18.295467 -18.000000 -7.000000 0.000000 
207 1.035000 -18.295467 -20.000000 -6.000000 0.000000 
208 1.040000 -18.295467 -18.000000 -7.000000 0.000000 
209 1.045000 -18.295467 -17.000000 -7.000000 0.000000 
210 1.050000 -18.295467 -19.000000 -7.000000 0.000000 
211 1.055000 -18.295467 -19.000000 -8.000000 0.000000 
212 1.060000 -18.295467 -17.000000 -7.000000 0.000000 
213 1.065000 -18.295467 -19.000000 -6.000000 0.000000 
214 1.070000 -18.295467 -18.000000 -8.000000 0.000000 
215 1.075000 -18.295467 -18.000000 -9.000000 0.000000 
216 1.080000 -18.295467 -17.000000 -7.000000 0.000000 
217 1.085000 0.000000 -15.000000 0.000000 0.000000 
218 1.090000 0.000000 -16.000000 0.000000 0.000000 
219 1.095000 0.000000 -15.000000 0.000000 0.000000 
220 1.100000 0.000000 -12.000000 0.000000 0.000000 
221 1.105000 0.000000 -12.000000 0.000000 0.000000 
222 1.110000 0.000000 -11.000000 0.000000 0.000000 
223 1.115000 -18.295467 -18.000000 -8.000000 0.000000 
224 1.120000 -18.295467 -17.000000 -8.000000 0.000000 
225 1.125000 -18.295467 -19.000000 -6.000000 0.000000 
226 1.130000 -18.295467 -19.000000 -7.000000 0.000000 
227 1.135000 -18.295467 -17.000000 -9.000000 0.000000 
228 1.140000 -18.295467 -17.000000 -8.000000 0.000000 
229 1.145000 -18.295467 -20.000000 -6.000000 0.000000 
230 1.150000 -18.295467 -18.000000 -8.000000 0.000000 
231 1.155000 -18.295467 -17.000000 -7.000000 0.000000 
232 1.160000 -18.295467 -19.000000 -6.000000 0.000000 
233 1.165000 -18.295467 -20.000000 -6.000000 0.000000 
234 1.170000 -18.295467 -18.000000 -8.000000 0.000000 
235 1.175000 -18.295467 -17.000000 -8.000000 0.000000 
236 1.180000 -18.295467 -19.000000 -7.000000 0.000000 
237 1.185000 -18.295467 -18.000000 -8.000000 0.000000 
238 1.190000 -18.295467 -17.000000 -8.000000 0.000000 
239 1.195000 -18.295467 -19.000000 -7.000000 0.000000 
240 1.200000 -18.295467 -20.000000 -7.000000 0.000000 
241 1.205000 -18.295467 -17.000000 -9.000000 0.000000 
242 1.210000 -18.295467 -17.000000 -7.000000 0.000000 
243 1.215000 -18.295467 -19.000000 -6.000000 0.000000 
244 1.220000 -18.295467 -18.000000 -8.000000 0.000000 
245 1.225000 -18.295467 -17.000000 -8.000000 0.000000 
246 1.230000 -18.295467 -18.000000 -7.000000 0.000000 
247 1.235000 -18.295467 -20.000000 -6.000000 0.000000 
248 1.240000 -18.295467 -18.000000 -8.000000 0.000000 
249 1.245000 -18.295467 -17.000000 -8.000000 0.000000 
250 1.250000 -18.295467 -19.000000 -7.000000 0.000000 
251 1.255000 -18.295467 -19.000000 -8.000000 0.000000 
252 1.260000 -18.295467 -17.000000 -9.000000 0.000000 
253 1.265000 -18.295467 -17.000000 -6.000000 0.000000 
254 1.270000 -18.295467 -19.000000 -6.000000 0.000000 
255 1.275000 -18.295467 -18.000000 -8.000000 0.000000 
256 1.280000 -18.295467 -17.000000 -8.000000 0.000000 
257 1.285000 -18.295467 -19.000000 -6.000000 0.000000 
258 1.290000 -18.295467 -20.000000 -7.000000 0.000000 
259 1.295000 -18.295467 -17.000000 -9.000000 0.000000 
260 1.300000 -18.295467 -17.000000 -8.000000 0.000000 
261 1.305000 -18.295467 -20.000000 -8.000000 0.000000 
262 1.310000 -18.295467 -18.000000 -9.000000 0.000000 
263 1.315000 -18.295467 -17.000000 -8.000000 0.000000 
264 1.320000 -18.295467 -19.000000 -6.000000 0.000000 
265 1.325000 -18.295467 -19.000000 -7.000000 0.000000 
266 1.330000 -18.295467 -18.000000 -8.000000 0.000000 
267 1.335000 -18.295467 -18.000000 -7.000000 0.000000 
268 1.340000 -18.295467 -20.000000 -6.000000 0.000000 
269 1.345000 -18.295467 -18.000000 -8.000000 0.000000 
270 1.350000 -18.295467 -17.000000 -8.000000 0.000000 
271 1.355000 -18.295467 -19.000000 -6.000000 0.000000 
272 1.360000 -18.295467 -19.000000 -7.000000 0.000000 
273 1.365000 -18.295467 -17.000000 -8.000000 0.000000 
274 1.370000 -18.295467 -17.000000 -8.000000 0.000000 
275 1.375000 -18.295467 -19.000000 -7.000000 0.000000 
